Profile,h[mm],b[mm],Iy[mm4],Wel_y[mm3],g[kg/m]
HE100A,96,100,3490000,72.8,16.7
HE120A,114,120,6060000,106,19.9
HE140A,133,140,10300000,155,24.7
HE160A,152,160,16700000,220,30.4
HE180A,171,180,25100000,294,35.5
HE200A,190,200,36900000,389,42.3
HE220A,210,220,54100000,515,50.5
HE240A,230,240,77600000,675,60.3
HE260A,250,260,104500000,836,68.2
HE280A,270,280,136700000,1010,76.4
HE300A,290,300,182600000,1260,88.3
HE100B,100,100,4500000,89.9,20.4
HE120B,120,120,8640000,144,26.7
HE140B,140,140,15100000,216,33.7
HE160B,160,160,24900000,311,42.6
HE180B,180,180,38300000,426,51.2
HE200B,200,200,57000000,570,61.3
HE220B,220,220,80900000,736,71.5
HE240B,240,240,112600000,938,83.2
HE260B,260,260,149200000,1150,93.0
HE280B,280,280,192700000,1380,103.0
HE300B,300,300,251700000,1680,117.0